"date","All items","Energy","All items less food and energy","Apparel","Commodities","Durables","Education and communication","Education","Communication","Food and beverages","Food","Food at home","Alcoholic beverages","Other goods and services","Housing","Shelter","Fuels and utilities","Household furnishings and operations","Medical care","Medical care commodities","Medical care services","Nondurables","Recreation","Services","Transportation","Private transportation","Food away from home","New vehicles","Public transportation"
Oct 2021,155.317,215.9,147.878,92.342,130.235,83.021,115.721,258.99,58.427,161.644,162.575,145.178,150.432,178.446,166.528,177.232,196.689,95.811,201.007,155.282,217.028,154.453,109.218,176.406,159.945,167.616,188.377,112.905,100.715
Sep 2021,154.076,210.092,146.988,91.622,128.51,81.717,115.622,258.54,58.417,160.228,161.035,143.649,150.569,176.984,165.642,176.608,194.029,94.864,199.997,154.396,215.972,152.565,108.511,175.581,156.9,164.395,186.845,111.322,99.027
Aug 2021,153.643,208.759,146.758,89.929,127.942,82.001,114.989,256.519,58.203,158.991,159.729,142.111,150.198,176.835,164.855,175.991,192.46,93.887,200.136,153.919,216.308,151.392,108.365,175.265,158.129,165.132,185.944,110.217,103.933
Jul 2021,153.352,207.244,146.576,88.328,127.395,81.728,114.518,255.146,58.022,158.522,159.271,141.695,149.585,176.165,164.404,175.74,191.057,93.185,199.735,154.18,215.693,150.685,107.854,175.194,159.132,165.072,185.424,109.216,113.244
Jun 2021,152.649,203.853,146.115,89.307,126.543,81.119,114.349,254.545,57.976,157.504,158.187,140.842,149.407,174.957,163.678,174.914,189.656,93.218,199.231,153.933,215.104,149.726,107.251,174.622,157.917,163.239,183.979,107.581,117.029
May 2021,151.334,199.276,144.995,89.784,124.765,78.393,114.223,253.968,57.964,156.43,157.081,139.863,148.731,174.718,162.677,173.996,186.134,93.202,199.578,154.527,215.374,148.855,107.178,173.713,152.95,157.931,182.683,105.706,114.781
Apr 2021,150.15,194.056,144.001,89.601,123.17,76.418,114.031,253.313,57.907,155.826,156.451,139.481,148.469,174.977,161.867,173.403,184.518,92.046,199.813,154.573,215.671,147.718,107.002,172.893,148.236,153.638,181.655,104.137,106.541
Mar 2021,148.918,191.336,142.802,89.678,121.593,74.193,113.667,253.056,57.625,155.134,155.731,138.654,148.133,174.609,161.123,172.737,183.303,91.313,199.886,153.862,215.996,146.82,106.131,171.969,143.735,149.601,181.123,103.742,98.327
Feb 2021,147.877,180.679,142.27,89.172,120.061,73.736,114.012,254.083,57.755,154.964,155.574,138.366,147.791,173.596,160.583,172.125,182.948,91.007,199.674,153.771,215.743,144.588,105.615,171.366,139.351,144.704,181.184,103.883,97.951
Jan 2021,147.054,173.804,141.76,87.374,119.014,73.506,113.936,253.799,57.736,154.822,155.432,138.029,147.643,172.88,160.123,171.737,181.235,90.918,198.805,154.623,214.32,142.998,104.864,170.745,137.009,142.055,181.368,103.79,98.046
Dec 2020,146.408,167.531,141.491,85.004,117.869,73.617,113.946,253.992,57.711,154.343,154.931,137.562,147.437,172.337,159.735,171.421,180.033,90.696,197.529,154.8,212.575,140.975,105.375,170.546,135.49,140.162,180.822,103.583,99.543
Nov 2020,146.242,164.399,141.569,86.457,117.736,73.66,114.135,253.899,57.859,153.831,154.367,137.099,147.593,172.325,159.52,171.238,178.942,90.793,197.832,155.221,212.842,140.695,105.396,170.352,134.673,139.149,180.048,102.988,104.368
Oct 2020,146.382,166.153,141.532,88.387,118.496,73.977,114.521,253.906,58.139,154.407,155.02,138.122,147.169,171.996,159.373,171.106,178.403,90.778,198.093,156.077,212.915,141.755,105.353,169.946,134.635,139.159,179.634,102.869,102.542
Sep 2020,146.417,168.186,141.5,88.636,118.55,73.878,114.738,253.794,58.343,154.026,154.663,137.82,146.411,171.824,159.344,170.852,179.466,91.081,198.674,157.08,213.369,141.954,105.242,169.965,134.857,139.437,179.182,102.561,100.462
Aug 2020,146.27,167.032,141.371,86.739,118.311,73.676,114.871,253.215,58.618,154.197,154.859,138.491,146.208,171.664,159.188,170.781,178.49,91.012,198.805,158.072,213.237,141.726,104.06,169.9,135.057,139.725,178.102,102.633,96.525
Jul 2020,145.747,167.37,140.743,85.043,117.439,72.599,114.504,252.062,58.484,154.107,154.767,138.602,146.143,172.005,158.945,170.554,178.724,90.521,198.661,157.749,213.148,141.346,103.477,169.702,133.626,138.109,177.449,102.859,101.102
Jun 2020,144.847,163.974,139.808,85.365,116.623,71.656,113.385,251.622,57.669,154.785,155.473,139.832,146.473,171.433,158.643,170.154,178.418,90.611,198.025,157.716,212.323,140.933,104.694,168.729,129.496,133.766,176.602,102.389,101.613
May 2020,144.018,155.356,139.498,85.569,115.686,71.709,113.666,251.191,57.913,153.974,154.574,139.023,146.889,170.702,158.086,169.95,175.246,90.028,197.531,157.763,211.658,139.012,104.768,167.989,126.9,131.07,175.601,102.467,100.744
Apr 2020,144.142,155.162,139.837,88.662,115.565,71.709,113.622,250.903,57.906,152.709,153.254,137.685,146.52,170.981,157.715,169.608,174.852,89.608,196.899,157.558,210.883,138.785,104.505,168.309,129.344,133.599,174.696,102.385,102.362
Mar 2020,144.913,168.099,140.354,93.199,116.604,71.917,113.55,250.704,57.873,149.773,150.214,134.154,145.198,171.17,157.63,169.491,175.946,89.046,196.531,157.89,210.279,140.437,104.652,168.893,136.106,140.505,174.075,102.492,107.381
Feb 2020,145.193,175.056,140.333,93.733,117.21,71.937,113.837,250.704,58.082,149.284,149.726,133.593,144.683,170.618,157.666,169.3,177.596,89.156,196.045,157.857,209.641,141.441,104.49,168.905,138.306,142.165,173.782,102.917,116.961
Jan 2020,144.813,178.849,139.699,90.816,117.046,71.657,113.86,250.362,58.158,148.829,149.285,133.114,144.039,169.854,157.285,168.709,178.446,88.988,195.414,158.126,208.707,141.37,104.176,168.345,138.524,142.716,173.409,102.579,114.011
Dec 2019,144.251,178.73,139.15,89.439,116.612,71.532,113.752,250.234,58.073,148.078,148.531,132.323,143.313,168.631,156.562,168.046,177.058,88.448,194.678,158.762,207.516,140.738,103.725,167.681,138.643,142.94,172.735,101.686,113.264
Nov 2019,144.518,179.822,139.422,92.594,117.262,71.81,114.03,250.356,58.298,147.972,148.405,132.407,143.464,169.174,156.371,167.743,176.704,88.745,194.233,158.015,207.155,141.63,103.983,167.577,139.43,143.246,172.249,101.266,118.673
Oct 2019,144.629,181.255,139.45,94.705,117.78,72.1,113.898,250.336,58.2,148.092,148.498,132.715,143.928,168.682,156.324,167.534,177.267,89.022,193.749,158.173,206.483,142.282,103.754,167.321,139.854,143.717,171.965,101.187,118.663
Sep 2019,144.428,180.713,139.301,95.297,117.583,72.239,114.215,249.843,58.544,147.772,148.134,132.33,144.172,167.995,156.415,167.586,178.477,88.706,192.449,157.33,205.033,141.839,103.443,167.118,139.191,143.174,171.643,101.229,116.631
Aug 2019,144.388,182.005,139.227,92.793,117.861,73.216,114.131,248.516,58.854,147.471,147.802,132.064,144.266,167.949,156.085,167.105,179.143,88.506,192.296,158.628,204.427,141.55,103.76,166.807,140.589,144.783,171.209,101.76,116.127
Jul 2019,144.409,186.559,138.978,91.35,118.201,73.293,113.672,246.326,58.913,147.391,147.724,132.195,144.161,167.584,156.055,166.903,179.622,88.853,191.158,157.613,203.241,142.075,103.625,166.562,141.981,146.058,170.8,102.214,118.569
Jun 2019,144.243,185.508,138.849,93.055,118.136,73.18,113.656,245.995,58.943,147.328,147.697,132.358,143.627,166.788,155.699,166.5,179.145,88.77,190.43,157.235,202.404,142.065,103.664,166.308,141.865,145.413,170.475,102.587,122.981
May 2019,144.183,188.983,138.55,93.882,118.702,72.953,113.565,245.702,58.909,147.407,147.805,132.84,143.296,166.942,154.99,165.952,176.568,88.351,190.157,157.675,201.919,143.292,103.644,165.69,142.906,146.522,169.94,102.688,123.459
Apr 2019,143.926,186.258,138.433,94.499,118.585,73.236,113.618,245.075,59.028,147.227,147.617,132.749,143.241,166.421,154.579,165.459,176.039,88.299,189.513,157.615,201.088,142.826,104.166,165.307,142.347,146.323,169.585,102.803,119.053
Mar 2019,143.297,177.77,138.214,94.808,117.693,73.45,113.673,245.009,59.077,147.237,147.624,133.097,143.301,166.298,154.284,164.845,176.733,88.749,189.21,156.889,200.906,141.11,104.145,164.91,139.382,143.287,169.027,102.759,116.447
Feb 2019,142.571,170.727,137.891,94.943,116.585,73.374,114.05,244.764,59.399,146.976,147.324,132.816,143.587,166.522,153.785,164.177,176.726,88.736,188.896,156.379,200.645,139.326,103.83,164.494,136.463,140.094,168.701,102.398,115.863
Jan 2019,142.001,169.029,137.391,92.202,115.852,73.309,114.071,244.277,59.509,146.555,146.906,132.504,143.111,165.852,153.374,163.577,177.45,88.477,188.415,157.088,199.81,138.185,103.612,164.047,135.234,139.044,168.116,102.271,112.989
