"month","All items","Energy","Apparel","Commodities","Durables","Education","Communication","Food","Housing","Fuels and utilities","Medical care commodities","Medical care services","Recreation","Transportation","Private transportation","Public transportation","new_death","new_case","tot_cases","tot_death"
10月 2021,155.317,215.9,92.342,130.235,83.021,258.99,58.427,162.575,166.528,196.689,155.282,217.028,109.218,159.945,167.616,100.715,42334,2433059,41692143,698794
9月 2021,154.076,210.092,91.622,128.51,81.717,258.54,58.417,161.035,165.642,194.029,154.396,215.972,108.511,156.9,164.395,99.027,53332,4080344,39575577,658361
8月 2021,153.643,208.759,89.929,127.942,82.001,256.519,58.203,159.729,164.855,192.46,153.919,216.308,108.365,158.129,165.132,103.933,32798,4255925,36069054,607956
7月 2021,153.352,207.244,88.328,127.395,81.728,255.146,58.022,159.271,164.404,191.057,154.18,215.693,107.854,159.132,165.072,113.244,9413,1383168,32259328,576928
6月 2021,152.649,203.853,89.307,126.543,81.119,254.545,57.976,158.187,163.678,189.656,153.933,215.104,107.251,157.917,163.239,117.029,9499,392076,31008215,567884
5月 2021,151.334,199.276,89.784,124.765,78.393,253.968,57.964,157.081,162.677,186.134,154.527,215.374,107.178,152.95,157.931,114.781,16242,894527,30655134,558961
4月 2021,150.15,194.056,89.601,123.17,76.418,253.313,57.907,156.451,161.867,184.518,154.573,215.671,107.002,148.236,153.638,106.541,20707,1843238,29861560,543296
3月 2021,148.918,191.336,89.678,121.593,74.193,253.056,57.625,155.731,161.123,183.303,153.862,215.996,106.131,143.735,149.601,98.327,31867,1797303,28242469,523564
2月 2021,147.877,180.679,89.172,120.061,73.736,254.083,57.755,155.574,160.583,182.948,153.771,215.743,105.615,139.351,144.704,97.951,61673,2330199,26690483,490757
1月 2021,147.054,173.804,87.374,119.014,73.506,253.799,57.736,155.432,160.123,181.235,154.623,214.32,104.864,137.009,142.055,98.046,97693,6078083,24630341,430489
12月 2020,146.408,167.531,85.004,117.869,73.617,253.992,57.711,154.931,159.735,180.033,154.8,212.575,105.375,135.49,140.162,99.543,82386,6388165,19165354,339520
11月 2020,146.242,164.399,86.457,117.736,73.66,253.899,57.859,154.367,159.52,178.942,155.221,212.842,105.396,134.673,139.149,104.368,42007,4439467,13275790,263623
10月 2020,146.382,166.153,88.387,118.496,73.977,253.906,58.139,155.02,159.373,178.403,156.077,212.915,105.353,134.635,139.159,102.542,24016,1939251,9000779,224486
9月 2020,146.417,168.186,88.636,118.55,73.878,253.794,58.343,154.663,159.344,179.466,157.08,213.369,105.242,134.857,139.437,100.462,21801,1221702,7174590,201382
8月 2020,146.27,167.032,86.739,118.311,73.676,253.215,58.618,154.859,159.188,178.49,158.072,213.237,104.06,135.057,139.725,96.525,30611,1474962,6012888,180151
7月 2020,145.747,167.37,85.043,117.439,72.599,252.062,58.484,154.767,158.945,178.724,157.749,213.148,103.477,133.626,138.109,101.102,30627,1941901,4577560,150296
6月 2020,144.847,163.974,85.365,116.623,71.656,251.622,57.669,155.473,158.643,178.418,157.716,212.323,104.694,129.496,133.766,101.613,20624,865697,2660887,119949
5月 2020,144.018,155.356,85.569,115.686,71.709,251.191,57.913,154.574,158.086,175.246,157.763,211.658,104.768,126.9,131.07,100.744,41764,743255,1810919,100028
4月 2020,144.142,155.162,88.662,115.565,71.709,250.903,57.906,153.254,157.715,174.852,157.558,210.883,104.505,129.344,133.599,102.362,60381,879832,1080431,59881
3月 2020,144.913,168.099,93.199,116.604,71.917,250.704,57.873,150.214,157.63,175.946,157.89,210.279,104.652,136.106,140.505,107.381,4972,213812,212666,4652
2月 2020,145.193,175.056,93.733,117.21,71.937,250.704,58.082,149.726,157.666,177.596,157.857,209.641,104.49,138.306,142.165,116.961,2,66,70,1
1月 2020,144.813,178.849,90.816,117.046,71.657,250.362,58.158,149.285,157.285,178.446,158.126,208.707,104.176,138.524,142.716,114.011,0,4,4,0
12月 2019,144.251,178.73,89.439,116.612,71.532,250.234,58.073,148.531,156.562,177.058,158.762,207.516,103.725,138.643,142.94,113.264,NA,NA,NA,NA
11月 2019,144.518,179.822,92.594,117.262,71.81,250.356,58.298,148.405,156.371,176.704,158.015,207.155,103.983,139.43,143.246,118.673,NA,NA,NA,NA
10月 2019,144.629,181.255,94.705,117.78,72.1,250.336,58.2,148.498,156.324,177.267,158.173,206.483,103.754,139.854,143.717,118.663,NA,NA,NA,NA
9月 2019,144.428,180.713,95.297,117.583,72.239,249.843,58.544,148.134,156.415,178.477,157.33,205.033,103.443,139.191,143.174,116.631,NA,NA,NA,NA
8月 2019,144.388,182.005,92.793,117.861,73.216,248.516,58.854,147.802,156.085,179.143,158.628,204.427,103.76,140.589,144.783,116.127,NA,NA,NA,NA
7月 2019,144.409,186.559,91.35,118.201,73.293,246.326,58.913,147.724,156.055,179.622,157.613,203.241,103.625,141.981,146.058,118.569,NA,NA,NA,NA
6月 2019,144.243,185.508,93.055,118.136,73.18,245.995,58.943,147.697,155.699,179.145,157.235,202.404,103.664,141.865,145.413,122.981,NA,NA,NA,NA
5月 2019,144.183,188.983,93.882,118.702,72.953,245.702,58.909,147.805,154.99,176.568,157.675,201.919,103.644,142.906,146.522,123.459,NA,NA,NA,NA
4月 2019,143.926,186.258,94.499,118.585,73.236,245.075,59.028,147.617,154.579,176.039,157.615,201.088,104.166,142.347,146.323,119.053,NA,NA,NA,NA
3月 2019,143.297,177.77,94.808,117.693,73.45,245.009,59.077,147.624,154.284,176.733,156.889,200.906,104.145,139.382,143.287,116.447,NA,NA,NA,NA
2月 2019,142.571,170.727,94.943,116.585,73.374,244.764,59.399,147.324,153.785,176.726,156.379,200.645,103.83,136.463,140.094,115.863,NA,NA,NA,NA
1月 2019,142.001,169.029,92.202,115.852,73.309,244.277,59.509,146.906,153.374,177.45,157.088,199.81,103.612,135.234,139.044,112.989,NA,NA,NA,NA
